"Suburb","Address",Bedroom,"Type",Price,"Link"
"ABBOTSFORD","28 Curtin Av",3,"House",Price withheld,"https://www.domain.com.au/28-curtin-avenue-abbotsford-nsw-2046-2013804488"
"ABBOTSFORD","16/168-172 Hampden Rd",2,"Unit",Price withheld,"https://www.domain.com.au/16-168-hampden-road-abbotsford-nsw-2046-2013802089"
"ALEXANDRIA","25/4 Gillespie Av",1,"Unit",Passed In,"https://www.domain.com.au/25-4-gillespie-avenue-alexandria-nsw-2015-2013797534"
"ALEXANDRIA","53A Lawrence St",3,"House",1920.0,"https://www.domain.com.au/53a-lawrence-street-alexandria-nsw-2015-2013803686"
"ALEXANDRIA","19 Renwick St",2,"House",1550.0,"https://www.domain.com.au/19-renwick-street-alexandria-nsw-2015-2013798654"
"ALLAMBIE HEIGHTS","14 Allambie Rd",7,"House",2040.0,"https://www.domain.com.au/14-allambie-road-allambie-heights-nsw-2100-2013813678"
"ALLAMBIE HEIGHTS","4 Orara Rd",5,"House",2127.5,"https://www.domain.com.au/4-orara-road-allambie-heights-nsw-2100-2013804592"
"ALLAWAH","2/17 Noble St",2,"Unit",Passed In,"https://www.domain.com.au/2-17-noble-street-allawah-nsw-2218-2013806301"
"ANNANDALE","2/95-97 Johnston St",1,"Unit",740.0,"https://www.domain.com.au/2-95-johnston-street-annandale-nsw-2038-2013797889"
"ANNANDALE","12/48 Nelson St",1,"Unit",Price withheld,"https://www.domain.com.au/12-48-nelson-street-annandale-nsw-2038-2013813082"
"ARNCLIFFE","16 Walters St",4,"House",1525.0,"https://www.domain.com.au/16-walters-street-arncliffe-nsw-2205-2013791085"
"ARTARMON","21 Burra Rd",4,"House",3010.0,"https://www.domain.com.au/21-burra-road-artarmon-nsw-2064-2013812279"
"ARTARMON","10/24-28 Cleland Rd",2,"Townhouse",1195.0,"https://www.domain.com.au/10-24-cleland-road-artarmon-nsw-2064-2013806908"
"ARTARMON","3 Smith Rd",4,"House",3020.0,"https://www.domain.com.au/3-smith-road-artarmon-nsw-2064-2013811168"
"ASHBURY","37 Goodlet St",3,"House",1750.0,"https://www.domain.com.au/37-goodlet-street-ashbury-nsw-2193-2013797864"
"ASHBURY","9 Second St",2,"House",1260.0,"https://www.domain.com.au/9-second-street-ashbury-nsw-2193-2013797876"
"ASHFIELD","14/24 Alt St",2,"Unit",721.0,"https://www.domain.com.au/14-24-alt-street-ashfield-nsw-2131-2013789771"
"ASHFIELD","4/28 Cecil St",2,"Unit",Price withheld,"https://www.domain.com.au/4-28-cecil-street-ashfield-nsw-2131-2013798759"
"ASHFIELD","102 Victoria St",4,"House",2510.0,"https://www.domain.com.au/102-victoria-street-ashfield-nsw-2131-2013799236"
"ASQUITH","10 Heath St",3,"House",Price withheld,"https://www.domain.com.au/10-heath-street-asquith-nsw-2077-2013818207"
