"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"ABBOTSFORD"	"50 Blackwall Point Rd"	3	"House"	2050.0	"https://www.domain.com.au/50-blackwall-point-road-abbotsford-nsw-2046-2013851663"
"ALEXANDRIA"	"87 Garden St"	3	"House"	1550.0	"https://www.domain.com.au/87-garden-street-alexandria-nsw-2015-2013857336"
"ALLAMBIE HEIGHTS"	"31 Churchill Cr"	5	"House"	Price withheld	"https://www.domain.com.au/31-churchill-crescent-allambie-heights-nsw-2100-2013849756"
"ALLAMBIE HEIGHTS"	"15 Cornwell Rd"	3	"House"	1485.0	"https://www.domain.com.au/15-cornwell-road-allambie-heights-nsw-2100-2013858082"
"ALLAWAH"	"54 Bellevue Pde"	3	"House"	1520.0	"https://www.domain.com.au/54-bellevue-parade-allawah-nsw-2218-2013857222"
"ALLAWAH"	"9/13 Illawarra St"	3	"Unit"	Passed In	"https://www.domain.com.au/9-13-illawarra-street-allawah-nsw-2218-2013860850"
"ALLAWAH"	"4/18 Illawarra St"	3	"Unit"	745.0	"https://www.domain.com.au/4-18-illawarra-street-allawah-nsw-2218-2013846105"
"ALLAWAH"	"2/4 Lancelot St"	3	"Unit"	818.8	"https://www.domain.com.au/2-4-6-lancelot-street-allawah-nsw-2218-2013832135"
"ALLAWAH"	"3/4 Lancelot St"	2	"Unit"	728.0	"https://www.domain.com.au/3-4-6-lancelot-street-allawah-nsw-2218-2013832136"
"ANNANDALE"	"5 Ferris St"	2	"House"	Withdrawn	"https://www.domain.com.au/5-ferris-street-annandale-nsw-2038-2013851402"
"ASHCROFT"	"12 Parsons St"	4	"House"	Passed In	"https://www.domain.com.au/12-parsons-st-ashcroft-nsw-2168-2013848288"
"ASHFIELD"	"24/58-60 Chandos St"	1	"Studio"	475.0	"https://www.domain.com.au/24-58-chandos-street-ashfield-nsw-2131-2013833670"
"ASHFIELD"	"109 Milton St"	3	"House"	Passed In	"https://www.domain.com.au/109-milton-street-ashfield-nsw-2131-2013824790"
"AUBURN"	"54 Mona St"	2	"House"	Passed In	"https://www.domain.com.au/54-mona-st-auburn-nsw-2144-2013851596"
"AVALON BEACH"	"1A George St"	5	"House"	Passed In	"https://www.domain.com.au/1a-george-street-avalon-beach-nsw-2107-2013820383"
"BALGOWLAH"	"2/113 Condamine St"	2	"Semi"	1565.0	"https://www.domain.com.au/2-113-condamine-street-balgowlah-nsw-2093-2013857327"
"BALGOWLAH"	"602/7 Sylvan Av"	3	"Unit"	2415.0	"https://www.domain.com.au/602-7-sylvan-avenue-balgowlah-nsw-2093-2013837277"
"BALGOWLAH"	"47 Wanganella St"	3	"House"	2300.0	"https://www.domain.com.au/47-wanganella-street-balgowlah-nsw-2093-2013844211"
"BALGOWLAH HEIGHTS"	"37 Radio Av"	4	"House"	2450.0	"https://www.domain.com.au/37-radio-avenue-balgowlah-heights-nsw-2093-2013828989"
"BANGOR"	"18 Yara Cl"	4	"House"	Passed In	"https://www.domain.com.au/18-yara-close-bangor-nsw-2234-2013844965"
"BASS HILL"	"73a Clarke St"	3	"Duplex"	Passed In	"https://www.domain.com.au/73a-clarke-street-bass-hill-nsw-2197-2013849635"
"BASS HILL"	"209 Johnston Rd"	3	"House"	1010.0	"https://www.domain.com.au/209-johnston-rd-bass-hill-nsw-2197-2013857131"
"BASS HILL"	"51 Robertson Rd"	4	"House"	881.0	"https://www.domain.com.au/51-robertson-road-bass-hill-nsw-2197-2013847189"
"BAULKHAM HILLS"	"11 Lonach Cl"	6	"House"	1850.0	"https://www.domain.com.au/11-lonach-close-baulkham-hills-nsw-2153-2013847903"
"BEECROFT"	"12 Roselea Wy"	5	"House"	1635.0	"https://www.domain.com.au/12-roselea-way-beecroft-nsw-2119-2013846546"
"BELMORE"	"38 Isabel St"	4	"House"	Passed In	"https://www.domain.com.au/38-isabel-street-belmore-nsw-2192-2013834612"
"BELROSE"	"4 Birru Pl"	5	"House"	1737.0	"https://www.domain.com.au/4-birru-place-belrose-nsw-2085-2013854460"
"BENSVILLE"	"10 Centre St"	4	"House"	1715.0	"https://www.domain.com.au/10-centre-street-bensville-nsw-2251-2013849583"
"BERALA"	"37 Sixth Av"	3	"House"	960.0	"https://www.domain.com.au/37-sixth-avenue-berala-nsw-2141-2013841335"
"BERKELEY VALE"	"251 Lakedge Av"	4	"House"	960.0	"https://www.domain.com.au/251-lakedge-avenue-berkeley-vale-nsw-2261-2013852988"
"BEVERLY HILLS"	"17 Caloola Cr"	4	"House"	1600.0	"https://www.domain.com.au/17-caloola-crescent-beverly-hills-nsw-2209-2013845726"
"BEVERLY HILLS"	"90 Edgbaston Rd"	3	"House"	1200.0	"https://www.domain.com.au/90-edgbaston-road-beverly-hills-nsw-2209-2013846847"
"BEVERLY HILLS"	"5 Frederick Av"	3	"House"	1100.0	"https://www.domain.com.au/5-frederick-avenue-beverly-hills-nsw-2209-2013848323"
"BEVERLY HILLS"	"371 King Georges Rd"	3	"House"	950.0	"https://www.domain.com.au/371-king-georges-road-beverly-hills-nsw-2209-2013827680"
"BEVERLY HILLS"	"9 Tarrilli St"	3	"House"	1400.0	"https://www.domain.com.au/9-tarrilli-street-beverly-hills-nsw-2209-2013824294"
