"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSBURY"	"7 Unsworth St"	4	"House"	850.0	"https://www.domain.com.au/7-unsworth-street-abbotsbury-nsw-2176-2013929528"	31.3
"ABBOTSFORD"	"4/2 Poolman St"	1	"Unit"	750.05	"https://www.domain.com.au/4-2-poolman-street-abbotsford-nsw-2046-2013923507"	7.4
"ALEXANDRIA"	"L209/8 Loveridge St"	2	"Unit"	Passed In	"https://www.domain.com.au/l209-8-loveridge-street-alexandria-nsw-2015-2013935140"	3.5
"ALEXANDRIA"	"M29/1a Mandible St"	2	"Unit"	Passed In	"https://www.domain.com.au/m29-1a-mandible-street-alexandria-nsw-2015-2013933538"	3.5
"ALFORDS POINT"	"6 Jonquil Pl"	5	"House"	1520.0	"https://www.domain.com.au/6-jonquil-place-alfords-point-nsw-2234-2013938725"	21.9
"ALLAMBIE HEIGHTS"	"5 Nyrang Rd"	3	"House"	1860.0	"https://www.domain.com.au/5-nyrang-road-allambie-heights-nsw-2100-2013934096"	12
"ANNANDALE"	"13 Kentville Av"	3	"House"	1855.0	"https://www.domain.com.au/13-kentville-avenue-annandale-nsw-2038-2013940606"	3.7
"ANNANDALE"	"5/149 Trafalgar St"	2	"Townhouse"	1085.0	"https://www.domain.com.au/5-149-trafalgar-street-annandale-nsw-2038-2013945132"	3.7
"ARNCLIFFE"	"67a Fairview St"	4	"House"	1675.0	"https://www.domain.com.au/67a-fairview-street-arncliffe-nsw-2205-2013938934"	9.5
"ARNCLIFFE"	"10 Hirst St"	2	"House"	Passed In	"https://www.domain.com.au/10-hirst-street-arncliffe-nsw-2205-2013921833"	9.5
"ARNCLIFFE"	"15 Queen St"	3	"House"	Passed In	"https://www.domain.com.au/15-queen-street-arncliffe-nsw-2205-2013931482"	9.5
"ARTARMON"	"2210/9 Eric Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/2210-9-eric-road-artarmon-nsw-2064-2013925268"	6.7
"ARTARMON"	"10C/3 Jersey Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/10c-3-jersey-road-artarmon-nsw-2064-2013919592"	6.7
"ASHFIELD"	"6/25-27 Elizabeth St"	2	"Unit"	850.0	"https://www.domain.com.au/6-25-27-elizabeth-street-ashfield-nsw-2131-2013921283"	7.9
"ASHFIELD"	"50 Joseph St"	2	"House"	1252.0	"https://www.domain.com.au/50-joseph-street-ashfield-nsw-2131-2013936818"	7.9
"ASHFIELD"	"1/9-11 Taringa St"	2	"Unit"	840.0	"https://www.domain.com.au/1-9-11-taringa-street-ashfield-nsw-2131-2013931856"	7.9
"ASHFIELD"	"4/114A Victoria St"	2	"Unit"	800.0	"https://www.domain.com.au/4-114a-victoria-street-ashfield-nsw-2131-2013923817"	7.9
"AUBURN"	"13 Kihilla Rd"	4	"House"	1310.0	"https://www.domain.com.au/13-kihilla-road-auburn-nsw-2144-2013930731"	16.2
"AUBURN"	"13 Northcote St"	3	"House"	1360.0	"https://www.domain.com.au/13-northcote-st-auburn-nsw-2144-2013934822"	16.2
"AVOCA BEACH"	"6/172-174 Avoca Dr"	2	"Unit"	962.0	"https://www.domain.com.au/6-172-174-avoca-drive-avoca-beach-nsw-2251-2013921473"	49.3
"AVOCA BEACH"	"11 Gill Av"	4	"House"	1078.0	"https://www.domain.com.au/11-gill-avenue-avoca-beach-nsw-2251-2013939669"	49.3
"BALGOWLAH"	"10/5 Cross St"	2	"Unit"	716.0	"https://www.domain.com.au/10-5-cross-street-balgowlah-nsw-2093-2013940651"	9.6
"BALGOWLAH"	"202/4 Sylvan Av"	1	"Unit"	1090.0	"https://www.domain.com.au/202-4-sylvan-avenue-balgowlah-nsw-2093-2013930524"	9.6
"BALGOWLAH"	"1/1 White St"	2	"Semi"	1340.0	"https://www.domain.com.au/1-1-white-street-balgowlah-nsw-2093-2013941764"	9.6
"BALGOWLAH HEIGHTS"	"55 Lewis St"	5	"House"	3300.0	"https://www.domain.com.au/55-lewis-street-balgowlah-heights-nsw-2093-2013938259"	8.7
"BALMAIN"	"210 Darling St"	4	"House"	1850.0	"https://www.domain.com.au/210-darling-street-balmain-nsw-2041-2013936449"	2.9
"BALMAIN"	"67 Elliott St"	2	"House"	1410.0	"https://www.domain.com.au/67-elliott-street-balmain-nsw-2041-2013931461"	2.9
"BANKSTOWN"	"2/26 De Witt St"	3	"Townhouse"	725.0	"https://www.domain.com.au/2-26-de-witt-street-bankstown-nsw-2200-2013929331"	16.9
"BANKSTOWN"	"36B Highland Av"	3	"Duplex"	935.0	"https://www.domain.com.au/36b-highland-avenue-bankstown-nsw-2200-2013933149"	16.9
"BASS HILL"	"11 Baxter Rd"	3	"House"	900.0	"https://www.domain.com.au/11-baxter-road-bass-hill-nsw-2197-2013929199"	19.9
"BASS HILL"	"43 Strickland St"	4	"House"	836.0	"https://www.domain.com.au/43-strickland-street-bass-hill-nsw-2197-2013934033"	19.9
"BAULKHAM HILLS"	"32 Railway St"	3	"House"	1090.0	"https://www.domain.com.au/32-railway-street-baulkham-hills-nsw-2153-2013962567"	23.2
"BEACONSFIELD"	"G04/63-85 Victoria St"	2	"Unit"	Withdrawn	"https://www.domain.com.au/g04-63-victoria-street-beaconsfield-nsw-2015-2013927485"	5
"BEECROFT"	"14 Lynbrae Av"	4	"House"	1920.0	"https://www.domain.com.au/14-lynbrae-avenue-beecroft-nsw-2119-2013940888"	18.6
"BEECROFT"	"46C Lyndon Wy"	4	"House"	1475.0	"https://www.domain.com.au/46c-lyndon-way-beecroft-nsw-2119-2013931098"	18.6
