"Suburb","Address",Bedroom,"Type",Price,"Link"
"Abbotsford","8/1 Rokeby Rd",2,"Unit",860,"https://www.realestate.com.au/126129138"
"Adamstown","66 Lockyer St",4,"House",,"https://www.realestate.com.au/126155126"
"Alexandria","119 Buckland St",2,"House",1502,"https://www.realestate.com.au/126149070"
"Alexandria","20/9 Henderson Rd",1,"Unit",650,"https://www.realestate.com.au/126141046"
"Alexandria","20/11 Henderson Rd",1,"Unit",650,""
"Allambie Heights","18 Bate Av",5,"House",1880,"https://www.realestate.com.au/126120666"
"Allawah","89 Illawarra St",5,"House",1593,"https://www.realestate.com.au/126109530"
"Angourie","3 Angourie St",4,"House",1155,"https://www.realestate.com.au/126138538"
"Annandale","36 Alfred St",4,"House",,"https://www.realestate.com.au/126146526"
"Armidale","19 Kirkwood St",3,"House",,"https://www.realestate.com.au/126010494"
"Arncliffe","7 Spring St",4,"House",,"https://www.realestate.com.au/126118870"
"Artarmon","6/2 Palmer St",2,"Unit",,"https://www.realestate.com.au/126142562"
"Artarmon","42/5 Broughton Rd",1,"Unit",741,"https://www.realestate.com.au/126183430"
"Artarmon","5 Rimmington St",4,"House",2050,"https://www.realestate.com.au/126073578"
"Ashfield","1/16 Webbs Av",2,"Unit",905,"https://www.realestate.com.au/126082802"
"Ashfield","2/393 Liverpool Rd",2,"Unit",,"https://www.realestate.com.au/126106462"
"Ashfield","12 Service Av",4,"House",1905,"https://www.realestate.com.au/126120794"
"Ashfield","4 Holwood Av",4,"House",,"https://www.realestate.com.au/126089954"
"Ashfield","55/2A Brown St",2,"Unit",790,"https://www.realestate.com.au/126110886"
"Ashfield","6/101 Alt St",2,"Unit",,"https://www.realestate.com.au/126150854"
"Ashfield","301/168 Liverpool Rd",2,"Unit",740,"https://www.realestate.com.au/126106710"
"Auburn","84 Cardigan St",4,"House",,"https://www.realestate.com.au/126122578"
"Auburn","119 Cardigan St",3,"House",905,"https://www.realestate.com.au/126103990"
"Auburn","78 Park Rd",5,"House",1326,"https://www.realestate.com.au/126117362"
"Auburn","28 Gordon Rd",4,"House",945,"https://www.realestate.com.au/126164626"
"Auburn","3/64 Harrow Rd",3,"Unit",,"https://www.realestate.com.au/126111710"
"Austinmer","65 Asquith St",3,"House",1250,"https://www.realestate.com.au/126133942"
"Avalon Beach","29 Plateau Rd",3,"House",,"https://www.realestate.com.au/126074274"
"Avalon Beach","133 Cabarita Rd",4,"House",,"https://www.realestate.com.au/126101750"
"Avoca Beach","4/157 The Round Dr",5,"House",1770,""
"Avoca Beach","132 Hillside Rd",5,"House",,"https://www.realestate.com.au/126092554"
"Balcolyn","31 Lake Rd",3,"House",427,"https://www.realestate.com.au/126015994"
"Balgowlah","106 Balgowlah Rd",3,"House",1650,"https://www.realestate.com.au/126140822"
"Balgowlah","17/5A Pitt St",2,"Unit",820,"https://www.realestate.com.au/126126754"
"Balgowlah","1/1 Brighton St",3,"Unit",1755,"https://www.realestate.com.au/126083138"
"Balgowlah","3/186 Woodland St",4,"Unit",2200,"https://www.realestate.com.au/126126426"
"Balgowlah Heights","11 Dobroyd Rd",5,"House",3250,"https://www.realestate.com.au/126112974"
"Balgownie","13 Blanchard Cr",5,"House",1013,"https://www.realestate.com.au/126108046"
"Balmain","6 Valley St",3,"House",1600,"https://www.realestate.com.au/126106694"
"Balmain","97 Beattie St",3,"House",,"https://www.realestate.com.au/126055490"
"Balmain","102 Beattie St",4,"House",,""
"Balmain","5/428 Darling St",2,"Unit",1090,"https://www.realestate.com.au/126006602"
"Bangalow","6 Palm Tree Cr",4,"House",,""
