"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Abbotsford"	"26/1 Harbourview Cr"	3	"Unit"		"https://www.realestate.com.au/126781346"	7.4
"Abbotsford"	"397 Great Rd N"	7	"House"		""	7.4
"Abbotsford"	"1/17 Rokeby Rd"	2	"Unit"	910000	"https://www.realestate.com.au/126807838"	7.4
"Albury"	"566 Englehardt St"	4	"House"	480000	"https://www.realestate.com.au/126714886"	un_known
"Albury"	"643 David St"	3	"House"	625000	"https://www.realestate.com.au/126855758"	un_known
"Albury"	"620 David St"	3	"House"	345000	"https://www.realestate.com.au/126850590"	un_known
"Alexandria"	"288 Belmont St"	4	"House"	2050000	"https://www.realestate.com.au/126855146"	3.5
"Alexandria"	"182 Henderson Rd"	3	"House"		""	3.5
"Alfords Point"	"127 Brushwood Dr"	5	"House"	1605000	"https://www.realestate.com.au/126761970"	21.9
"Allambie Heights"	"44 Churchill Cr"	5	"House"	2350000	"https://www.realestate.com.au/126845526"	12
"Annandale"	"16/143 Trafalgar St"	2	"Unit"	1150000	"https://www.realestate.com.au/126815274"	3.7
"Annangrove"	"9 Hill Climb Dr"	6	"House"		"https://www.realestate.com.au/126760706"	33.7
"Annangrove"	"12 Whites Ridge Rd"	5	"House"		"https://www.realestate.com.au/126839850"	33.7
"Armidale"	"5 Richardson Av"	3	"House"		"https://www.realestate.com.au/126365202"	482
"Armidale"	"27 Duval St"	4	"House"		"https://www.realestate.com.au/126736110"	482
"Artarmon"	"28 Burra Rd"	4	"House"		"https://www.realestate.com.au/126845206"	6.7
"Artarmon"	"3/148 Hampden Rd"	2	"Unit"	800000	"https://www.realestate.com.au/126804542"	6.7
"Ashbury"	"2 Melville St"	0.5	"House"	1260000	"https://www.realestate.com.au/126815538"	9
"Ashfield"	"11/7 Tintern Rd"	2	"Unit"		"https://www.realestate.com.au/126793378"	7.9
"Ashfield"	"31/58 Orpington St"	2	"Unit"	675000	"https://www.realestate.com.au/126811718"	7.9
"Ashfield"	"1/8 Brunswick Pde"	2	"Unit"	630000	"https://www.realestate.com.au/126748374"	7.9
"Ashfield"	"2/4 Church St"	2	"Unit"	640000	"https://www.realestate.com.au/126813850"	7.9
"Ashfield"	"7/74 Alt St"	1	"Unit"	530000	"https://www.realestate.com.au/126818398"	7.9
"Ashfield"	"21/23 A'beckett Av"	1	"Unit"	500000	"https://www.realestate.com.au/126836522"	7.9
"Ashfield"	"807/268 Liverpool Rd"	1	"Unit"	682500	"https://www.realestate.com.au/126852674"	7.9
"Avalon Beach"	"23 Chisholm Av"	2	"House"	1600000	""	28.1
"Avoca Beach"	"12 Warren Av"	5	"House"		""	49.3
"Balgowlah"	"1/104 Condamine St"	2	"Unit"	1000000	"https://www.realestate.com.au/126856454"	9.6
"Balgowlah"	"1/179 Condamine St"	3	"Unit"		"https://www.realestate.com.au/126839246"	9.6
"Balgowlah"	"7 Angle St"	4	"House"		"https://www.realestate.com.au/126834418"	9.6
"Balgowlah"	"4 Dudley St"	4	"House"	1895000	"https://www.realestate.com.au/126858150"	9.6
"Balgowlah Heights"	"10 Curban St"	5	"House"	2400000	"https://www.realestate.com.au/126800118"	8.7
"Ballina"	"4 Prosper Pl"	3	"House"		"https://www.realestate.com.au/126784754"	un_known
"Balmain East"	"122 Darling St"	4	"House"		"https://www.realestate.com.au/122588106"	1.8
"Bangor"	"1 Kiara Cl"	4	"House"		"https://www.realestate.com.au/126810834"	23.5
"Bankstown"	"368 Hume Hwy"	3	"House"	770000	""	16.9
"Banora Point"	"61 Cominan Av"	4	"House"	765000	"https://www.realestate.com.au/126775306"	un_known
"Bardia"	"10 Callinan Cr"	3	"House"		"https://www.realestate.com.au/126808358"	un_known
"Bardwell Park"	"156 Slade Rd"	4	"House"	1225000	"https://www.realestate.com.au/126797082"	10.4
"Bass Hill"	"18 Hitter Av"	2	"House"	755000	"https://www.realestate.com.au/126836250"	19.9
"Bass Hill"	"275 Hector St"	3	"House"		"https://www.realestate.com.au/126832638"	19.9
"Batar Creek"	"425 Batar Creek Rd"	3	"House"		"https://www.realestate.com.au/7931118"	un_known
"Bateau Bay"	"37 Waratah St"	3	"House"	715000	"https://www.realestate.com.au/126720558"	104
"Bateau Bay"	"25 Murrumbidgee Cr"	4	"House"	652500	"https://www.realestate.com.au/126657938"	104
"Bathurst"	"226 Lambert St"	3	"House"		"https://www.realestate.com.au/126800158"	200
"Bathurst"	"283A Piper St"	6	"House"		"https://www.realestate.com.au/126776746"	200
"Baulkham Hills"	"12 Peter St"	3	"House"		"https://www.realestate.com.au/126862106"	23.2
"Baulkham Hills"	"55 Mackillop Dr"	5	"House"		"https://www.realestate.com.au/126807382"	23.2
"Baulkham Hills"	"34 Geraldine Av"	3	"House"		"https://www.realestate.com.au/126824602"	23.2
"Baulkham Hills"	"1 Yaralla Pl"	4	"House"		"https://www.realestate.com.au/126829770"	23.2
"Beaconsfield"	"46 Victoria St"	2	"House"	1230000	"https://www.realestate.com.au/126793742"	5
"Bella Vista"	"4 Pipersbrook Cr"	4	"House"		"https://www.realestate.com.au/125738542"	27.4
"Bella Vista"	"51 Prestige Av"	5	"House"		"https://www.realestate.com.au/126813454"	27.4
"Bellevue Hill"	"62 Beresford Rd"	5	"House"		""	5.3
"Bellevue Hill"	"4/125 Bellevue Rd"	2	"Unit"		""	5.3
"Belmore"	"57 Chelmsford Av"	3	"House"	1030000	"https://www.realestate.com.au/126843438"	12.3
"Belmore"	"63 Nelson Av"	5	"House"		"https://www.realestate.com.au/126780530"	12.3
"Belrose"	"1 Loretta Pl"	4	"House"		"https://www.realestate.com.au/126856538"	14.2
"Belrose"	"3 Birru Pl"	3	"House"		"https://www.realestate.com.au/126832274"	14.2
"Berkeley"	"30 Southampton St"	2	"House"	446000	""	un_known
"Berkeley"	"28 Southampton St"	3	"House"	555000	"https://www.realestate.com.au/126720194"	un_known
"Berkeley Vale"	"65 Grevillea Cr"	3	"House"	550000	"https://www.realestate.com.au/126778654"	92.6
"Berkeley Vale"	"12 Wirigi St"	3	"House"	725000	"https://www.realestate.com.au/126834406"	92.6
"Beverly Hills"	"7/64 Stoney Creek Rd"	2	"Unit"	575000	"https://www.realestate.com.au/126849562"	14.7
"Beverly Hills"	"2 Yoorami Rd"	3	"House"	1630000	"https://www.realestate.com.au/126849418"	14.7
"Bexley"	"7 Beaconsfield St"	3	"House"	2100000	"https://www.realestate.com.au/126746042"	11.7
"Bexley"	"9/73 Queen Victoria St"	2	"Unit"	610000	"https://www.realestate.com.au/126835198"	11.7
"Bexley"	"3/47 Beaconsfield St"	2	"Unit"	760000	"https://www.realestate.com.au/126777262"	11.7
"Bexley"	"117 St Georges Rd"	5	"House"	1726000	"https://www.realestate.com.au/126863746"	11.7
"Bilgola Plateau"	"42 The Circle"	4	"House"	2036500	"https://www.realestate.com.au/126770978"	38
"Bimbimbie"	"1552 Princes Hwy"	0.5	"House"	150000	""	un_known
"Birchgrove"	"10 Ferdinand St"	2	"House"	1415000	"https://www.realestate.com.au/126835126"	2.9
"Blackett"	"3 Cleary Pl"	5	"House"		"https://www.realestate.com.au/126800210"	39.3
"Blacktown"	"78 Bungarribee Rd"	3	"House"	706000	"https://www.realestate.com.au/126762238"	29.6
"Blacktown"	"78 Lancaster St"	5	"House"		"https://www.realestate.com.au/126892254"	29.6
"Blacktown"	"32 Archer St"	3	"House"	750000	"https://www.realestate.com.au/126758278"	29.6
