Abbotsbury,2176,31.3
Abbotsford,2046,7.4
Acacia Gardens,2763,31.7
Adamstown,,166
Airds,2560,42.4
Alexandria,2015,3.5
Alfords Point,2234,21.9
Allambie Heights,2100,12
Allawah,2218,14.3
Ambarvale,2560,44.1
Angourie,,682
Annandale,2038,3.7
Annangrove,2156,33.7
Arcadia,2159,30.7
Armidale,,482
Arncliffe,2205,9.5
Arndell Park,2148,32.2
Artarmon,2064,6.7
Ashbury,2193,9
Ashcroft,2168,29
Ashfield,2131,7.9
Asquith,2077,21.9
Auburn,2144,16.2
Audley,2232,27
Austinmer,,82
Austral,2179,37.2
Avalon,2107,28
Avalon Beach,2107,28.1
Avoca Beach,2251,49.3
Badgerys Creek,2555,42.7
Balcolyn,,128
Balgowlah,2093,9.6
Balgowlah Heights,2093,8.7
Balgownie,,89
Balmain,2041,2.9
Balmain East,2041,1.8
Bangalow,,765
Bangor,2234,23.5
Banksia,2216,10.7
Banksmeadow,2019,10
Bankstown,2200,16.9
Bankstown Aerodrome,2200,20.4
Bar Point,2083,40.2
Barden Ridge,2234,26.2
Bardwell Park,2207,10.4
Bardwell Valley,2207,10.1
Barrack Point,,112
Bass Hill,2197,19.9
BATEAU BAY,,104
Bathurst,,200
Baulkham Hills,2153,23.2
Bayview,2104,24.5
Beacon Hill,2100,13.7
Beaconsfield,2015,5
Beaumont Hills,2155,30.2
Beecroft,2119,18.6
Belfield,2191,12
Bella Vista,2153,27.4
Bellevue Hill,2023,5.3
Belmore,2192,12.3
Belrose,2085,14.2
Bensville,2251,99
Berala,2141,16.3
Berkshire Park,2765,43.8
Berowra,2081,27.6
Berowra Heights,2082,29.2
Berowra Waters,2082,30.6
Berrilee,2159,29.9
Beverley Park,2217,13.9
Beverly Hills,2209,14.7
Bexley,2207,11.7
Bexley North,2207,11.7
Bidwill,2770,38.6
Bilgola,2107,26.9
Bilgola Plateau,,38
Birchgrove,2041,2.9
Birrong,2143,17.2
Blackett,2770,39.3
Blacktown,2148,29.6
Blackwall,2256,41.9
Blair Athol,2560,43
Blairmount,2559,42.7
Blakehurst,2221,16.1
Blenheim Road,2113,10.2
Bligh Park,2756,45.9
BLUE HAVEN,,91
Bondi,2026,5.9
Bondi Beach,2026,6.8
Bondi Junction,2022,4.7
Bondi Junction Plaza,2022,4.8
Bonnet Bay,2226,21.2
Bonnyrigg,2177,29.7
Bonnyrigg Heights,2177,31.4
Bonville,,527
Booker Bay,2257,41.5
Bossley Park,2176,29.8
Botany,2019,8.7
Bouddi,2251,43.1
Bow Bowing,2566,37.9
Box Head,2257,38.9
Box Hill,2765,37.7
Bradbury,2560,43.7
Breakfast Point,2137,9.6
Brighton-le-sands,2216,11.4
Bringelly,2556,44.6
Broadmeadow,,856
Bronte,2024,6.5
Brooklyn,2083,35.5
Brookvale,2100,12.8
Brunswick Heads,,779
Budgewoi,,119
Buff Point,,118
Bundeena,2230,24.8
Burraneer,2230,22.9
Burwood,2134,9.6
Burwood Heights,2136,9.9
Busby,2168,31
Cabarita,2137,8.9
Cabramatta,2166,25.2
Cabramatta West,2166,27
Calga,2250,47.8
Cambridge Gardens,2747,47.2
Cambridge Park,2747,46.3
CAMDEN SOUTH,,71
Camellia,2142,18
Cammeray,2062,5
Campbelltown,2560,42.7
Camperdown,2050,3.6
Campsie,2194,10.7
Canada Bay,2046,8.4
Canley Heights,2166,26.2
Canley Vale,2166,24.5
Canoelands,2157,42.1
Canterbury,2193,9.3
Caravan Head,2225,18.2
Careel Bay,2107,29.3
Caringbah,2229,21
CARINGBAH SOUTH,,28
Carlingford,2118,17.4
Carlton,2218,13.6
Carramar,2163,22.7
Carss Park,2221,15.6
Cartwright,2168,30
Castle Cove,2069,9.2
Castle Hill,2154,23.9
Castlecrag,2068,7.2
Casula,2170,29
Catherine Field,2557,42.3
Cattai,2756,44.2
Cecil Hills,2171,32.7
Cecil Park,2178,34.1
Centennial Park,2021,3.8
Chatswood,2067,8.2
